,col_name,feature_importance_vals
64,Lachnoclostridium,0.19632895816168514
134,Gemella,0.19494708585014245
166,Butyricimonas,0.18307427129738
17,Enterobacteriaceae,0.1495682225017051
71,Lachnospiraceae ND3007 group,0.1471826976116395
1,Collinsella,0.14375365962737374
11,Dorea,0.14273490805182146
66,Odoribacter,0.13745773480957446
239,Christensenellaceae_uncultured,0.1324439212792438
202,Holdemania,0.1309328290435876
39,Prevotella 7,0.12415002441301994
68,Intestinibacter,0.12129983519606043
70,Acidaminococcus,0.1098464901657309
2,Agathobacter,0.10698590817712159
30,Lachnospiraceae,0.09224291812258327
3,Bacteroides,0.09206302385127713
37,Parabacteroides,0.09203420661194127
54,Coprococcus 1,0.08784074481544604
52,CAG-56,0.086534754426252
53,Paraprevotella,0.08611343930761357
88,Eggerthellaceae_uncultured,0.08453078614264894
94,Actinomyces,0.08140431832421272
26,[Ruminococcus] torques group,0.07961410030494724
36,Clostridium sensu stricto 1,0.07639442911825009
117,Coriobacteriales Incertae Sedis_uncultured,0.07637439891159953
140,Mitochondria,0.07439072521762524
28,Coprococcus 3,0.07340914928686072
45,Enterococcus,0.07057434204238783
296,Bacteria,0.06894338925196772
6,Prevotella 9,0.06878862736155295
33,Alistipes,0.06718035078203742
41,Romboutsia,0.06697235743473674
51,Coprococcus 2,0.06585472707842027
144,Saccharimonadaceae,0.06510544529952052
50,Ruminococcaceae UCG-005,0.06264119697608828
136,Atopobiaceae_uncultured,0.06203063402126501
13,Christensenellaceae R-7 group,0.06186504426364442
49,Ruminococcaceae UCG-014,0.061250777517909145
154,Family XIII AD3011 group,0.060674549327092195
72,Lachnospira,0.06065792046109212
230,Raoultibacter,0.0602796702390021
92,Flavonifractor,0.059590970213956464
57,Lachnospiraceae NK4A136 group,0.05843452642489316
82,Lachnospiraceae_uncultured,0.05767908434256877
87,Clostridiales_Family XIII,0.0531789518728392
128,Tyzzerella,0.052485659987030975
113,Lachnospiraceae UCG-010,0.05182963202422264
259,Unassigned,0.05157768553643051
22,Ruminococcus 1,0.04885007787706422
185,Family XIII_[Eubacterium] brachy group,0.04833254816254692
48,[Ruminococcus] gauvreauii group,0.04672035358678494
43,Parasutterella,0.04601404216599991
55,[Eubacterium] eligens group,0.0456813702596755
116,Eggerthella,0.0447503233722345
62,Ruminococcaceae,0.04474951077325039
65,Ruminococcaceae_uncultured,0.043183839242244317
8,Faecalibacterium,0.041707352578062754
99,Marvinbryantia,0.04127188399872956
114,Lactococcus,0.0411601681753454
15,Fusicatenibacter,0.04096844470045437
44,Slackia,0.04022736405357369
4,Blautia,0.04010846744931914
24,Anaerostipes,0.03960106004288964
5,Phascolarctobacterium,0.038708221714018914
170,Acetitomaculum,0.03862090121312201
