,col_name,feature_importance_vals
136,Atopobiaceae_uncultured,0.4829389550075472
4,Blautia,0.4042075694258683
71,Lachnospiraceae ND3007 group,0.3482516690439784
24,Anaerostipes,0.31095678898065005
76,Turicibacter,0.2126188751159057
12,Bifidobacterium,0.20473205516351348
21,[Eubacterium] hallii group,0.19787994132895337
15,Fusicatenibacter,0.191798173150615
36,Clostridium sensu stricto 1,0.18514486542279002
107,Lachnospiraceae FCS020 group,0.17847383832050695
41,Romboutsia,0.17428973450163104
40,Senegalimassilia,0.17317538206817248
239,Christensenellaceae_uncultured,0.15076592592077748
99,Marvinbryantia,0.13428034623457663
1,Collinsella,0.13346780396868393
82,Lachnospiraceae_uncultured,0.12462508105869656
39,Prevotella 7,0.11885009819914712
16,[Eubacterium] coprostanoligenes group,0.11700871643080688
97,Chloroplast,0.1168564702207911
173,Rothia,0.11557142630803174
154,Family XIII AD3011 group,0.11412910484171039
296,Bacteria,0.11377900465400594
48,[Ruminococcus] gauvreauii group,0.11303856272006924
60,Holdemanella,0.1035261548798151
62,Ruminococcaceae,0.1016455382507534
259,Unassigned,0.09943393492844926
11,Dorea,0.09841163450537223
37,Parabacteroides,0.09039604102062966
209,Defluviitaleaceae UCG-011,0.08491515582259318
127,Ruminiclostridium 9,0.08378101749104633
202,Holdemania,0.08320657109995831
64,Lachnoclostridium,0.08219382791037173
30,Lachnospiraceae,0.08130281529176989
2,Agathobacter,0.07825586664806855
52,CAG-56,0.07513916638801137
89,Barnesiella,0.07276419513780151
50,Ruminococcaceae UCG-005,0.06816828619560857
54,Coprococcus 1,0.06770472646833145
55,[Eubacterium] eligens group,0.06634657841354517
95,Terrisporobacter,0.06592622272748973
182,Angelakisella,0.06368745688035835
35,Ruminococcaceae UCG-013,0.06296042793489416
7,Akkermansia,0.0629228694324667
68,Intestinibacter,0.06252682598493829
6,Prevotella 9,0.06247048836503126
47,[Eubacterium] ruminantium group,0.062172031186440706
140,Mitochondria,0.06147115932007707
61,Ruminiclostridium 5,0.05724222998013457
29,Roseburia,0.055765592208227244
22,Ruminococcus 1,0.0556089861677553
94,Actinomyces,0.055233734526628844
185,Family XIII_[Eubacterium] brachy group,0.054586853406106736
110,Butyrivibrio,0.05415207793293389
51,Coprococcus 2,0.0537513408438519
83,Ruminococcaceae_UBA1819,0.053639670306387104
44,Slackia,0.052421528046285
53,Paraprevotella,0.05131924799791025
134,Gemella,0.05072769878963402
115,Prevotella 2,0.05049765133995785
63,Butyricicoccus,0.05003118625527221
65,Ruminococcaceae_uncultured,0.04954677970582311
187,Atopobium,0.04828856391836332
112,Ruminococcaceae UCG-004,0.048226692467849226
198,[Eubacterium] fissicatena group,0.047899059875061545
33,Alistipes,0.04757746408896809
