otu	Superkingdom	Phylum 	Class	Order	Family 	Genus	Species 
5bfb87b61ec26b3347297c36d287f034	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	__
b4cbc7d9ea15b7a6685c9e7384f76d98	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	__
2f412e1611491fdcde80a16b1f9450ed	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	__
22be59c1b0f18950debfd54a8d1eb9ec	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	__
86a344a41130b80ccbc35bc8264797cc	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	__
db14c55024a359658a65c5851eed4c67	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	__
918209c8469751973270ceab61151264	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	__
0dcefd65571849dd41395e1d88748cee	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	uncultured bacterium
f138e1f9019e5883aef568cdbbfcae57	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	__
2d238a311d0c17fb20a44106d8d94b81	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	__
a44561cb545b97a4ef5e7bf7fb75bbb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	__
2147f99a797160822036d49a463d7faa	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	__
931fff02d94342afd4b68703cebc9d13	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	__
31fbc71b903e8b5ed1a0b2528745cc56	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	__
43700024c549bcb3b028d6c7e0be62be	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 2	__
42d3788673479a88bf8902987893e4ed	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	__
767465f9ef098cc761abbca33a6dfb09	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	human gut metagenome
829ee0e126800d181ab4a09065174a4d	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae	__
6b4341303eeb0fd7f7ad1a2c96a09f9b	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	__
64e1a83810f5e8b23458a6f4b5f7631a	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus TH1435
4be8798ea2a7916252281795edd70db3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-002	__
6e3b6407d230c6fbf9d82bf6a0c40e5c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] hallii group	__
0db1a39990954454ed3a205744de8bb4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	__
a7f079173ac3cd268e83a1f6c8dd56ad	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	__
2a888206467aadcc1067bdab23016ec7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	__
9a50ed86e447df6c5635c1029eba5f30	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	__
131b899b0da2ac4a2ba90c1c99329d7e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] torques group	__
5ab210b70bbb9d11943b629b9c1adea3	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	__
ed6c69d29bffb43108eaeb3f80831aa5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 3	__
270f1e89305fe371b60586c656c51965	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	__
792588f43c79318574c4b38f463b98f8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
