,col_name,feature_importance_vals
259,Unassigned,0.24833533520879886
173,Rothia,0.21230433487543604
20,Ruminococcaceae UCG-002,0.1369508990110868
76,Turicibacter,0.13266866991032675
239,Christensenellaceae_uncultured,0.1318280812325156
47,[Eubacterium] ruminantium group,0.11346587807630235
206,Leuconostoc,0.1131551042080749
35,Ruminococcaceae UCG-013,0.10339200871335379
13,Christensenellaceae R-7 group,0.1022574648043019
61,Ruminiclostridium 5,0.10161028235788763
106,Oscillibacter,0.0977653415609666
89,Barnesiella,0.09400055978134485
187,Atopobium,0.09346282175969614
36,Clostridium sensu stricto 1,0.09308482566398577
113,Lachnospiraceae UCG-010,0.08928235195688405
83,Ruminococcaceae_UBA1819,0.08641647212541555
5,Phascolarctobacterium,0.08360699455771413
46,Lactobacillus,0.08050786067450795
159,Coprobacter,0.08026101542482139
65,Ruminococcaceae_uncultured,0.07945861463913388
39,Prevotella 7,0.07226628625654333
115,Prevotella 2,0.07050218566517591
41,Romboutsia,0.07021630616773866
40,Senegalimassilia,0.06989988412757764
17,Enterobacteriaceae,0.06716968561247541
108,Negativibacillus,0.06194977130286077
167,Ruminococcaceae UCG-008,0.06086227129938683
15,Fusicatenibacter,0.05972984410241224
95,Terrisporobacter,0.05885567729879616
22,Ruminococcus 1,0.058674063650513135
82,Lachnospiraceae_uncultured,0.05688309794770703
140,Mitochondria,0.05679980423479568
51,Coprococcus 2,0.05544407006475467
74,[Eubacterium] ventriosum group,0.0546418014807917
57,Lachnospiraceae NK4A136 group,0.05463535976803845
119,Allisonella,0.0545770065185934
184,Rhodospirillales_gut metagenome,0.05446738335454029
100,Howardella,0.05396843496375823
162,Fournierella,0.05314033974773338
25,Megasphaera,0.05285676832776669
249,Anaerofustis,0.050992621404657254
48,[Ruminococcus] gauvreauii group,0.050331807847775654
185,Family XIII_[Eubacterium] brachy group,0.04915057766493192
81,Saccharimonadaceae_TM7 phylum sp. oral clone DR034,0.048255716619655685
296,Bacteria,0.04820337515331327
45,Enterococcus,0.04755131174536776
4,Blautia,0.04636972440487929
28,Coprococcus 3,0.04563366616277259
99,Marvinbryantia,0.04562793862273035
258,[Eubacterium] nodatum group,0.045529724315141115
142,Lachnospiraceae NK4B4 group,0.04478713157889918
58,Ruminococcaceae UCG-003,0.04297857340852715
154,Family XIII AD3011 group,0.04173932721373603
33,Alistipes,0.04094153627180977
202,Holdemania,0.040884644794687126
8,Faecalibacterium,0.04051251505385759
10,Subdoligranulum,0.04030368564294046
163,Peptococcus,0.03999152957879536
166,Butyricimonas,0.039922442352591736
69,[Eubacterium] xylanophilum group,0.039707303388248266
29,Roseburia,0.03728283903609508
92,Flavonifractor,0.03667596059062816
54,Coprococcus 1,0.03635496206757125
68,Intestinibacter,0.03445746191962371
198,[Eubacterium] fissicatena group,0.033812124600914706
