,col_name,feature_importance_vals
15,Fusicatenibacter,0.28067386919910475
16,[Eubacterium] coprostanoligenes group,0.2805048570819412
4,Blautia,0.23307712400261588
21,[Eubacterium] hallii group,0.2244895995276059
29,Roseburia,0.2002957690868717
173,Rothia,0.1837146164591975
1,Collinsella,0.17955968798339877
28,Coprococcus 3,0.15883098236126514
0,Escherichia-Shigella,0.14377699253861762
83,Ruminococcaceae_UBA1819,0.1395762880256114
144,Saccharimonadaceae,0.13813966820965454
75,Weissella,0.13261133172605877
195,uncultured bacterium adhufec202,0.12829308945281453
11,Dorea,0.12558484059991315
225,Catabacter,0.11878872981572092
72,Lachnospira,0.11367035314562063
41,Romboutsia,0.10935445727565667
54,Coprococcus 1,0.10254007119428805
10,Subdoligranulum,0.09965442471115186
107,Lachnospiraceae FCS020 group,0.09882729505061691
32,Erysipelotrichaceae UCG-003,0.09759993130516614
158,Burkholderiaceae,0.09719399504540209
119,Allisonella,0.09397752988287476
152,Lachnospiraceae UCG-008,0.09240710793262262
57,Lachnospiraceae NK4A136 group,0.08731555807343554
90,Gastranaerophilales_uncultured bacterium,0.0869684757506573
30,Lachnospiraceae,0.08339570609862511
116,Eggerthella,0.0832511718025428
52,CAG-56,0.08063396839420871
112,Ruminococcaceae UCG-004,0.08026760405431252
68,Intestinibacter,0.07889436433357384
146,Lachnospiraceae UCG-004,0.07743745631026758
79,metagenome,0.0772816884941356
7,Akkermansia,0.07689436473846799
113,Lachnospiraceae UCG-010,0.07460429117495102
105,Ruminococcaceae UCG-010,0.072428569922791
50,Ruminococcaceae UCG-005,0.07161686652541673
130,Mogibacterium,0.07154007233977712
66,Odoribacter,0.07064872440549176
95,Terrisporobacter,0.06981455293913622
183,Prevotella,0.06904627618926713
33,Alistipes,0.06897417722088711
44,Slackia,0.06880063538724052
180,Prevotella 6,0.06838463962305187
184,Rhodospirillales_gut metagenome,0.06707276794305203
97,Chloroplast,0.06528940218874635
127,Ruminiclostridium 9,0.06324513651542103
5,Phascolarctobacterium,0.06274312416675276
46,Lactobacillus,0.06270087086456225
71,Lachnospiraceae ND3007 group,0.06229828863075122
114,Lactococcus,0.06130046843801966
89,Barnesiella,0.060529509015319026
106,Oscillibacter,0.05887256776458997
26,[Ruminococcus] torques group,0.058470823795700275
43,Parasutterella,0.05822166174541156
61,Ruminiclostridium 5,0.058050971537456246
230,Raoultibacter,0.05762441192169897
20,Ruminococcaceae UCG-002,0.056642185818751564
206,Leuconostoc,0.0563816214726359
108,Negativibacillus,0.055527161997636375
88,Eggerthellaceae_uncultured,0.053925552347824174
38,Clostridiales,0.052672366760662934
17,Enterobacteriaceae,0.05257394273960504
24,Anaerostipes,0.050946008316060845
121,Christensenellaceae,0.05069952940569968
