,col_name,feature_importance_vals
34,Ruminococcaceae NK4A214 group,0.21611831711329862
21,[Eubacterium] hallii group,0.19795708727858524
4,Blautia,0.17564351911315695
113,Lachnospiraceae UCG-010,0.16767952793338126
53,Paraprevotella,0.15906066787174866
117,Coriobacteriales Incertae Sedis_uncultured,0.1446272158515577
182,Angelakisella,0.1400031592867116
42,Enterorhabdus,0.1395953462019769
33,Alistipes,0.13699730302597052
148,Family XIII UCG-001,0.13496262393993821
41,Romboutsia,0.11900337857819804
15,Fusicatenibacter,0.11432209316924892
119,Allisonella,0.11410362486219888
20,Ruminococcaceae UCG-002,0.10780935685158352
68,Intestinibacter,0.10469726982875877
173,Rothia,0.10301413504203082
24,Anaerostipes,0.09911018793734518
111,Sutterella,0.09836635991566893
107,Lachnospiraceae FCS020 group,0.09563417420382529
54,Coprococcus 1,0.09511098681920847
16,[Eubacterium] coprostanoligenes group,0.09315179539251747
5,Phascolarctobacterium,0.09071544276146006
143,Erysipelatoclostridium,0.08569870613778956
162,Fournierella,0.08522777086556277
66,Odoribacter,0.0802096346150626
11,Dorea,0.07883854366965919
154,Family XIII AD3011 group,0.0783496442514781
144,Saccharimonadaceae,0.07610578974338358
249,Anaerofustis,0.07087641346193113
50,Ruminococcaceae UCG-005,0.06844607242207125
72,Lachnospira,0.06773226941292607
48,[Ruminococcus] gauvreauii group,0.06536731326595932
12,Bifidobacterium,0.06421629409393935
74,[Eubacterium] ventriosum group,0.06341681427898652
23,Veillonella,0.061232901801052286
69,[Eubacterium] xylanophilum group,0.060686886163104053
80,Bilophila,0.06042445593052312
178,metagenome.1,0.05918608700551738
35,Ruminococcaceae UCG-013,0.058211762764321474
206,Leuconostoc,0.056862277517985914
99,Marvinbryantia,0.055725034861429656
28,Coprococcus 3,0.05467242859172812
81,Saccharimonadaceae_TM7 phylum sp. oral clone DR034,0.05423117985725565
127,Ruminiclostridium 9,0.05398085843857315
61,Ruminiclostridium 5,0.05328745957655048
87,Clostridiales_Family XIII,0.05298834429946338
62,Ruminococcaceae,0.05265045839288129
26,[Ruminococcus] torques group,0.052368368999998124
136,Atopobiaceae_uncultured,0.051982997849262504
36,Clostridium sensu stricto 1,0.05190151453280123
93,Gastranaerophilales,0.051105472190501294
185,Family XIII_[Eubacterium] brachy group,0.05046025010790037
43,Parasutterella,0.049605262943222865
94,Actinomyces,0.04958993695089629
77,Alloprevotella,0.0488927737305704
29,Roseburia,0.04725957431158754
52,CAG-56,0.04663158198185728
97,Chloroplast,0.04528809205135691
37,Parabacteroides,0.04399475749502889
60,Holdemanella,0.043697256519002664
137,Prevotellaceae_uncultured,0.04319985185391587
18,Dialister,0.04286471136519034
65,Ruminococcaceae_uncultured,0.04267317865410835
147,Solobacterium,0.04230958471236124
6,Prevotella 9,0.04229900992931187
